"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q7UGYZX8","webpage","2013","Sinane, Kamardine Mohamed","Les littoraux des Comores, dynamique d'un système anthropisé : le cas de l'île d'Anjouan","","","","","https://tel.archives-ouvertes.fr/tel-01237270","","2013-11-08","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Les littoraux des Comores, dynamique d'un système anthropisé","","","","","","","fr","","","","","","","","","","","","Activités anthropiques; Building seawall; Changement climatique; Climate change; Coastal erosion; Défense lourde; Élévation du niveau de la mer; Érosion des plages; Gestion intégrée des zones côtières (GIZC); ICZM; Lutte contre l'érosion; Perceptions des usagers; Sea level rise; Système Plage; User's perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"T93JZFVD","webpage","2010","Sinane, Kamardine Mohamed; David, Gilbert; Pennober, Gwenaëlle; Troadec, Roland","Fragilisation et modification des formations littorales meubles sur l’île d’Anjouan (Comores) : Quand l’érosion d'origine anthropique se conjugue au changement climatique","","","","","https://hal.univ-reunion.fr/hal-01239649","","2010","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Fragilisation et modification des formations littorales meubles sur l’île d’Anjouan (Comores)","","","","","","","fr","","","","","","","","","","","","Anjouan; beach morphology; climate change; Comoros; sand mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"LE3B8ISU","webpage","2016","Diop, Bassirou","Economie écologique des ressources marines : Le cas de la pêcherie crevettière guyanaise","","","","","https://tel.archives-ouvertes.fr/tel-01430060","","2016-12-02","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Economie écologique des ressources marines","","","","","","","fr","","","","","","","","","","","","Amazonian environment; Changement global; Economie des ressources naturelles; Environnement amazonien; Fisheries management; Gestion des pêcheries; Global change; Natural resource economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"F3YW49WE","webpage","2020","Sultan, Benjamin; Bossa, A. y; Salack, S.; Sanon, M.","Introduction générale","","","","","https://hal.archives-ouvertes.fr/hal-02547476","","2020","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","AFRIQUE DE L'OUEST; AFRIQUE SUBSAHARIENNE; BURKINA FASO; MALI; SENEGAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"XL8VFI7X","webpage","2017","Dezécache, Camille","Les fondements de REDD  à l’épreuve des modèles de déforestation : cas d’étude sur le Plateau des Guyanes","","","","","https://tel.archives-ouvertes.fr/tel-01564584","","2017-05-17","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Les fondements de REDD  à l’épreuve des modèles de déforestation","","","","","","","fr","","","","","","","","","","","","Agriculture; Deforestation; Déforestation; Démographie; Demography; Environmental Politics; Gold Panning; Guiana Shield; Modélisation; Modelling; Orpaillage; Plateau des Guyanes; Politiques environnementales; REDD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"ZDNISBP2","webpage","2018","Santiago, Louis S.; de Guzman, Mark E.; Baraloto, Christopher; Vogenberg, Jacob E.; Brodie, Max; Hérault, Bruno; Fortunel, Claire; Bonal, Damien","Coordination and trade-offs among hydraulic safety, efficiency and drought avoidance traits in Amazonian rainforest canopy tree species","","","","","https://hal.archives-ouvertes.fr/hal-01846130","","2018","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","en","","","","","","","","","","","","adaptation à la sécheresse; adaptation au changement climatique; Amazonian forest; BIOPHYSICAL PROPERTIES; canopée; canopy; capacitance; CAPACITANCE; cavitation; CLIMATE-CHANGE; conductivité hydraulique; drought; DRY-SEASON; forêt amazonienne; forêt tropicale humide; hydraulic conductivity; permeability coefficient; sapwood capacitance; tropical rain forests; TROPICAL TREES; turgor loss point; VEGETATION DYNAMICS; VULNERABILITY; WATER-STRESS; wood density; WOODY-PLANTS; xylem; XYLEM CAVITATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"FCKDI9SF","webpage","2014","Goussot, E.; Brou, yao Télesphore; Laouina, A.; Chaker, Miloud; Emram, Anas; Machouri, N.; Mahe, Gil; Sfa, M.; Tra Bi, Z. A.","Dynamique de l'occupation du sol et statistiques agricoles sur le bassin versant du Bouregreg au Maroc","","","","","https://hal.univ-reunion.fr/hal-01239629","","2014","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","1985 2005; Agriculture; BASSIN VERSANT; CEREALE; CHANGEMENT CLIMATIQUE; COUVERT VEGETAL; DEFORESTATION; DEGRADATION DU SOL; DONNEES SATELLITE; EAU DE SURFACE; EVALUATION; Evolution; IMAGE SATELLITE; METHODOLOGIE; PARCELLE DE CULTURE; PLUVIOMETRIE; RENDEMENT; SOL NU; STATISTIQUE; SYSTEME D'INFORMATION GEOGRAPHIQUE; TELEDETECTION; UTILISATION DU SOL; VILLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337","","","","","","","",""
"PCEMKH2T","webpage","2010","Jeanson, Matthieu; Dolique, Franck; Anthony, Edward J.","Un réseau de surveillance des littoraux face au changement climatique en milieu insulaire tropical : l’exemple de Mayotte","","","","","https://hal.archives-ouvertes.fr/hal-02542801","","2010-12","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Un réseau de surveillance des littoraux face au changement climatique en milieu insulaire tropical","","","","","","","fr","","","","","","","","","","","","beaches; changement climatique; coastal management; cyclone; gestion du littoral; GIS; global change; Indian Ocean; mangroves; Mayotte; Mayotte island; morphodynamic; morphodynamique; observatoire; observatory; Océan Indien; paroxysmes; paroxysms; plages; resilience; résilience; SIG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"ZE8KA598","webpage","2022","Messame Me Mba, Benjamin; Pennober, Gwenaëlle; Revillion, Christophe; Rouet, Philippe; David, Gilbert","Estimations, à partir de séries d’images LANDSAT, des évolutions de stocks de carbone de différentes formations en milieu équatorial côtier - cas de Libreville au Gabon","","","","","https://hal.archives-ouvertes.fr/hal-03633365","","2022","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","carbon; carbone; coastal zone; deforestation; déforestation; DEM ALOS; DEM SRTM; ecosystem services; Gabon; images Landsat; Landsat images; mangrove; MNT ALOS; MNT SRTM; remote sensing; services écosystémiques; télédétection; zones littorales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"HB67SCYU","webpage","2020","Al-Kurdi, Nadeem","Aide à la décision multicritère pour l’optimisation de scénarios de production énergétique via l’utilisation de données spatiales","","","","","https://tel.archives-ouvertes.fr/tel-03200903","","2020-10-02","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","Echelle spatio-temporelle; French Guiana; Geographic information system; Guyane Française; Optimisation robuste; Planification des énergies renouvelables; Renewable energy planning; Robust optimization; Sélection de site; SIG; Site selection; Spatio-Temporal scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"K7PY2WNJ","webpage","2014","Roux, Emmanuel; Barcellos, Christovam; Gurgel, Helen; Durieux, Laurent; Laques, Anne-Elisabeth; Dessay, Nadine","Un ""Site Sentinelle"" à la frontière franco-brésilienne pour comprendre et suivre les relations entre climat et santé","","","","","https://hal.ird.fr/ird-01265600","","2014-11-12","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","Climate change; Information systems; International borders; Malaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"MGIJXQ3Q","report","2022","Banos, Arnaud; Becu, Nicolas; Claverie, Thomas; Charpentier, Philippe; Jeanson, Matthieu; Lefer Sauvage, Gaëlle; Le Duff, Matthieu; Longépée, Esméralda; Mori, Miki; Provitolo, Damienne; Stoica, Georgeta","MaOre fishermen's social rePresentAtionS on the evolutioNs of the coastline and climAte change","","","","","https://hal.archives-ouvertes.fr/hal-03634770","","2022-04-08","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"HIB9KHPP","webpage","2021","Courault, Romain; Cohen, Marianne; Said, Sonia; Ronchail, Josyane","Impact de la variabilité climatique sur la démographie des rennes en Laponie suédoise: de l'intérêt du calendrier pastoral","","","","","https://hal.archives-ouvertes.fr/hal-03343168","","2021-06-01","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Impact de la variabilité climatique sur la démographie des rennes en Laponie suédoise","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"XQZDTYFG","webpage","2017","Brou, yao Télesphore; R, Vololonirainy; Boussougou Boussougou, Guy; Raharinjanahary, Rindra; Bigot, Sylvain; Dumas, Dominique; Razanaka, Samuel","Pressions agro-démographiques et état de l’occupation des sols dans l’espace protégé d’Ankarafantsika : bilan cartographique et paysager.","","","","","https://hal.archives-ouvertes.fr/hal-01879934","","2017-10-23","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Pressions agro-démographiques et état de l’occupation des sols dans l’espace protégé d’Ankarafantsika","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"JQDQNXE2","webpage","2018","Le Duff, Matthieu","Les risques naturels côtiers en Nouvelle-Calédonie : contribution pour une gestion intégrée. De la caractérisation du risque à la participation citoyenne, quelques perspectives pour la prévention des risques aux îles Loyauté.","","","","","https://hal.archives-ouvertes.fr/tel-03049783","","2018-11-30","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","Les risques naturels côtiers en Nouvelle-Calédonie","","","","","","","fr","","","","","","","","","","","","Adaptation; Archives; Changement climatique; Climate change; Coastal risks; Gestion Intégrée; Indigenous people; Integrated management; New Caledonia; Nouvelle-Calédonie; Observatoire; Observatory; Participation; Perception; Peuple autochtone; Prevention; Prévention; Resilience; Résilience; Risques littoraux; Savoirs traditionnels; Traditional knowledge; Vulnérabilité; Vulnerability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"F8XH3XDF","webpage","2019","Levionnois, Sébastien","Diversité et variabilité de l’architecture vasculaire et hydraulique de la pousse feuillée chez des arbres de canopée d’une forêt tropicale humide","","","","","https://tel.archives-ouvertes.fr/tel-02928247","","2019-12-13","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","Anatomie; Anatomy; Cecropia obtusa; Drought resistance; Embolism resistance; Functional trait; Hydraulic; Hydraulique; Intraspecific; Intraspécifique; Résistance à l'embolie; Résistance à la sécheresse; Trait fonctionnel; Xylem; Xylème","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"IY336V3G","webpage","2020","Carrias, Jean-Francois; Gerphagnon, Mélanie; Perez, Hector Rodriguez; Borrel, Guillaume; Loiseau, Camille; Corbara, Bruno; Cereghino, Régis; Mary, Isabelle; Leroy, Céline","Resource availability drives bacterial succession during leaf-litter decomposition in a bromeliad ecosystem","","","","","https://hal.inrae.fr/hal-02880883","","2020-03-16","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","2022-06-27T11:56:51Z","","","","","","","","","","","","","","en","","","","","","","","","","","","16S rRNA gene; Amplicon sequencing; Bacterial diversity; Community ecology; Decomposition; Ecological succession","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338","","","","","","","",""
"7BA4YNLZ","webpage","2019","Rey-Valette, Helene; Rocle, Nicolas; Vye, Didier D.; Mineo-Kleiner, Lucile; Longépée, Esméralda; Bazart, Cécile; Lautredou-Audouy, Nicole","Acceptabilité sociale des mesures d’adaptation au changement climatique en zones côtières : une revue de dix enquêtes menées en France métropolitaine","","","","","https://hal.umontpellier.fr/hal-02454621","","2019","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","","","","","","","Acceptabilité sociale des mesures d’adaptation au changement climatique en zones côtières","","","","","","","fr","","","","","","","","","","","","acceptabilité sociale; adaptation au changement climatique; climate change adaptation; érosion marine; legitimacy; légitimité; marine erosion; relocalisation; relocation; social acceptability; submersion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","",""
"2GGT9NIV","webpage","2017","Blanc, Lilian; Ferreira, Joice; Piketty, Marie-Gabrielle; Bourgoin, Clément; Gond, Valéry; Hérault, Bruno; Kanashiro, Milton; Laurent, François; Piraux, Marc; Rutishauser, Ervan; Sist, Plinio","Gérer les forêts dégradées, une nouvelle priorité en Amazonie brésilienne","","","","","https://hal.archives-ouvertes.fr/hal-01537653","","2017-06","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","abordagem territorial; agricultural frontier; Amazon; Amazônia; Amazonie; aménagement forestier; approche territoriale; Brasil; Brazil; Brésil; carbon emissions; code forestier; código florestal; Degradação florestal; Dégradation forestière; ecosystem services; emissão de carbono; émission de carbone; forest code; Forest degradation; forest management; forest planning; frente pioneira; front pionnier; gestão florestal; gestion forestière; informação espacial; information spatiale; interdisciplinaridade; interdisciplinarité; interdisciplinarity; non-timber forest products; ordenamento florestal; produits forestiers non ligneux; produtos florestais não lenhosos; remote sensing; sensoriamento remoto; service écosystémique; serviço ecossistêmico; spatial information; télédétection; territoire; territorial approach; território; territory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","",""
"925NVUQI","webpage","2021","Ronchail, J.; Schor, T.; Espinoza, Jhan Carol; Sabot, M.; Pinheiro, H.; Gomez, P.; Drapeau, G.; Michot, V.; Filizola, N.; Guyot, Jean-Loup; Sultan, Benjamin; Martinez, Jean-Michel","Hydrologie et production agricole dans le nord-ouest de l'Amazonie","","","","","https://hal.archives-ouvertes.fr/hal-03675279","","2021","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","AMAZONIE; COURS D'EAU; CRUE; CULTURE DE DECRUE; ETIAGE; PEROU; PLAINE INONDABLE; PLUIE; REGIME HYDROLOGIQUE; RIZ; STATION HYDROLOGIQUE; VARIATION ANNUELLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","",""
"9D92CYN5","webpage","2022","Céréghino, Régis; Trzcinski, Mark Kurtis; Macdonald, A. Andrew M.; Marino, Nicholas A. C.; Acosta Mercado, Dimaris; Leroy, Celine; Corbara, Bruno; Romero, Gustavo; Farjalla, Vinicius F.; Barberis, Ignacio M.; Dézerald, Olivier; Hammill, Edd; Atwood, Trisha B.; Piccoli, Gustavo C. E.; Ospina Bautista, Fabiola; Carrias, Jean-Francois; Leal, Juliana S.; Montero, Guillermo; Antiqueira, Pablo A. P.; Freire, Rodrigo; Realpe, Emilio; Amundrud, Sarah L.; Omena, Paula M. De; Campos, Alice B. A.; Srivastava, Diane S.","Functional redundancy dampens precipitation change impacts on species‐rich invertebrate communities across the Neotropics","","","","","https://hal.inrae.fr/hal-03658979","","2022","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","","","","","","","","","","","","","","en","","","","","","","","","","","","Freshwater; Functional traits; Hydrology; Insurance hypothesis; Precipitation; Species richness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","",""
"TABEEJ48","webpage","2016","Philippon, Nathalie; de Lapparent, B.; Gond, V.; Bigot, S.; Brou, yao Télesphore; Camberlin, Pierre; Cornu, G.; Dubreuil, Vincent; Martiny, Nadège; Morel, Béatrice; Moron, M.; Seze, G.","Apport de l'analyse des cycles diurnes de nébulosité et de radiation solaire pour comprendre le cycle saisonnier moyen d'activité photosynthétique de la forêt en Afrique Centrale.","","","","","https://hal.archives-ouvertes.fr/hal-01359864","","2016-07-06","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","2022-06-27T11:57:08Z","","","","","","","","","","","","","","fr","","","","","","","","","","","","Afrique Centrale; Central Africa; cloudiness; cycles diurnes; diurnal cycles; forests; forêts; nébulosité; radiation solaire; solar radiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339","","","","","","","",""
